Chr Gene nSNPs nSims Start Stop Test Pvalue Top.0.1.pvalue Best.SNP SNP.pvalue
1 ARHGEF19 85 1000 16397185 16411691 76.7934196834589 0.422 0.165 rs4661709 0.0179399999999999
1 ARHGEF2 61 1000 154183268 154214575 12.1496117453921 0.895 0.501 rs35588936 0.300000000000001
1 ARID1A 39 1e+05 26895108 26981188 69.2085658524357 0.12472 0.03506 rs4466675 0.01341
1 ARID4B 138 1000 233396832 233558155 99.3820991590575 0.47 0.452 rs6683978 0.142199999999999
1 ARL8A 112 1000 200368599 200380489 111.592499968907 0.484 0.358 rs3935010 0.04556
1 ARNT 62 1000 149048809 149115810 22.7939523558781 0.795 0.302 rs10305748 0.1291
1 ARPC5 156 1e+05 181861954 181871608 457.250982345752 0.04042 0.05735 rs10911390 0.0118899999999999
1 ARTN 77 1000 44171578 44175471 42.7496431865732 0.67 0.383 rs869896 0.128500000000001
1 ARV1 114 1000 229181445 229203102 88.2237955219647 0.573 0.146 rs11122197 0.0125599999999999
1 ASB17 136 1000 76157147 76170704 147.550725996958 0.368 0.244 rs5745513 0.0159
1 ASH1L 59 1000 153571675 153798948 13.2602131221699 0.842 0.44 rs17367421 0.2434
1 ASPM 126 1e+05 195319879 195382447 325.184844758589 0.05838 0.09572 rs1127661 0.02398
1 ASTN1 389 1000 175096825 175400647 398.109128162715 0.413 0.127 rs10732997 0.00470799999999999
1 ATAD3A 30 1000 1437417 1459927 11.0256823346459 0.744 0.241 rs3813216 0.1229
1 ATAD3B 15 1000 1397026 1421445 9.47010244952949 0.543 0.214 rs3813216 0.1229
1 ATAD3C 6 1000 1374931 1395401 6.01006245224763 0.341 0.19 rs6669795 0.128200000000001
1 ATF3 194 1000 210805319 210860739 284.289287855584 0.144 0.128 rs3122712 0.00676400000000001
1 ATF6 381 1000 160002707 160195476 220.576370088006 0.883 0.271 rs12044611 0.002769
1 ATG4C 158 1e+05 63022390 63102638 382.427699802744 0.06513 0.02409 rs2803244 0.00660400000000001
1 ATP13A2 89 1e+05 17185039 17210854 148.373238699271 0.10678 0.08447 rs7550829 0.000865599999999977
1 ATP1A1 67 1000 116717358 116748919 88.496663775732 0.205 0.191 rs10924089 0.0379
1 ATP1A2 125 1000 158352171 158379998 89.7403384650671 0.772 0.449 rs11265342 0.01742
1 ATP1A4 122 1000 158387975 158423391 95.2195356126227 0.746 0.467 rs11265342 0.01742
1 ATP1B1 190 1000 167342570 167368584 114.284370620877 0.776 0.633 rs10919051 0.09521
1 ATP2B4 149 1000 201862550 201979832 55.8565033235533 0.989 0.881 rs4600103 0.1814
1 ATP5F1 121 1e+05 111793265 111806048 175.878529485644 0.17221 0.04195 rs10067 0.00283299999999999
1 ATP6V0B 70 1000 44213188 44216559 45.9207673551904 0.591 0.321 rs2286245 0.0683500000000002
1 ATP6V1G3 114 1000 196758974 196776698 85.6537146521572 0.547 0.145 rs7518048 0.0267699999999999
1 ATP8B2 93 1e+05 152564659 152590404 174.412839167816 0.09547 0.07282 rs12729561 0.00883299999999998
1 ATPAF1 94 1e+05 46870997 46906686 220.342600371448 0.06886 0.07288 rs11211319 0.0173
1 ATPIF1 67 1000 28435197 28437198 24.5578234757132 0.821 0.269 rs17185136 0.0812299999999999
1 ATXN7L2 79 1000 109828083 109836879 27.8757635138828 0.855 0.539 rs10494041 0.178400000000001
1 AURKAIP1 16 1e+05 1298972 1300681 25.8209563342507 0.17809 0.08312 rs307380 0.0378599999999999
1 AVPR1B 11 1e+05 204390905 204398105 22.7481533926939 0.13514 0.03813 rs35810727 0.02275
1 B3GALNT2 146 1e+05 233679867 233734404 225.811571995993 0.14342 0.06983 rs4659923 0.00199300000000001
1 B3GALT2 65 1000 191414798 191422347 30.8411000441478 0.684 0.326 rs6682904 0.1346
1 B3GALT6 54 1000 1157491 1160283 44.3931952814569 0.506 0.331 rs9729550 0.09117
1 B4GALT2 73 1000 44217452 44229427 49.7056790554371 0.648 0.4 rs2286245 0.0683500000000002
1 B4GALT3 60 1e+05 159407724 159413938 132.520208123231 0.04562 0.0272 rs4233366 0.002317
1 BAI2 65 1e+05 31965304 32002235 148.774010359413 0.04239 0.04601 rs10798888 0.00874199999999997
1 BARHL2 100 1000 90950166 90955382 104.989972237056 0.373 0.149 rs2166172 0.02731
1 BAT2D1 216 1000 169721289 169829273 215.211704018724 0.378 0.139 rs2179882 0.003541
1 BATF3 87 1e+05 210926382 210939950 226.346404430703 0.00721 0.01136 rs4951457 0.000861899999999997
1 BCAN 95 1000 154878363 154895944 52.4937933902612 0.813 0.389 rs4233513 0.0857900000000001
1 BCAR3 119 1e+05 93799936 93919973 200.915558561335 0.08702 0.03605 rs1417884 0.00361600000000001
1 BCAS2 47 1000 114911703 114925788 34.2474834150741 0.594 0.415 rs222495 0.0933299999999994
1 BCL10 142 1e+05 85504047 85516171 288.842631776979 0.04064 0.02667 rs11585614 0.000394200000000005
1 BCL2L15 68 1e+05 114220958 114231692 121.636864339031 0.10807 0.02712 rs2476602 0.003545
1 BCL9 197 1000 145479805 145564639 124.505624017585 0.851 0.532 rs7512513 0.0310299999999999
1 BEST4 56 1e+05 45021843 45026013 89.8356069013859 0.18376 0.06128 rs12407290 0.0198900000000001
1 BGLAP 75 1e+05 154478574 154479736 141.480383105441 0.08816 0.16157 rs11264463 0.0462999999999999
1 BLZF1 150 1000 167603817 167632404 33.5524822191723 0.974 0.904 rs6427185 0.275600000000001
1 BMP8A 79 1000 39729904 39768128 88.2486818329504 0.321 0.235 rs7554206 0.0554700000000001
1 BMP8B 97 1e+05 39996489 40027120 102.298121492849 0.37255 0.03671 rs2050172 0.000277599999999995
1 BNIPL 59 1000 149275657 149286698 96.2308098157681 0.137 0.14 rs3738478 0.0186100000000001
1 BOLA1 20 1e+05 148137824 148138969 74.3733438414631 0.01658 0.00122 rs11205303 0.000579999999999987
1 BPNT1 80 1000 218297446 218329814 13.949070281388 0.983 0.716 rs3767657 0.1103
1 BRDT 106 1000 92187515 92252573 183.348326503537 0.133 0.119 rs3088232 0.0184099999999999
1 BRP44 57 1e+05 166153933 166171857 164.541546836026 0.04292 0.02382 rs203847 0.005812
1 BSDC1 16 1000 32603362 32632614 14.8325106885695 0.356 0.329 rs10914555 0.1259
1 BSND 151 1e+05 55237204 55247053 190.740515758624 0.24022 0.06124 rs2495477 0.00688700000000001
1 BTBD8 112 1000 92318480 92385985 65.9023816608168 0.628 0.219 rs475034 0.0606799999999996
1 BTF3L4 48 1000 52294560 52326650 50.2203457823782 0.196 0.18 rs12406048 0.0321799999999998
1 BTG2 101 1000 201541286 201545352 69.2291526974052 0.694 0.516 rs10920618 0.0804099999999994
1 BXDC5 142 1000 84717507 84736621 90.5005396811894 0.735 0.562 rs2063037 0.0552999999999995
1 C1orf100 184 1e+05 242582559 242619016 312.245585620836 0.07984 0.00825 rs12032765 6.98500000000001e-05
1 C1orf101 255 1e+05 242691315 242870285 247.186438296545 0.40618 0.0273 rs12032765 6.98500000000001e-05
1 C1orf102 124 1000 36656093 36688639 97.8741768581221 0.579 0.265 rs3918019 0.000792899999999989
1 C1orf103 92 1000 111291334 111308089 80.5649252094398 0.507 0.317 rs4839086 0.04041
1 C1orf104 29 1000 153556874 153560562 5.65346450158991 0.827 0.41 rs17367421 0.2434
1 C1orf105 171 1e+05 170656452 170704589 278.572213473454 0.13017 0.03399 rs9425586 0.00418899999999999
1 C1orf106 105 1e+05 199127291 199151486 245.253495502447 0.01892 0.00467 rs2271017 0.000179799999999997
1 C1orf107 140 1000 208067955 208097531 129.025706775495 0.48 0.236 rs1319435 0.0396500000000001
1 C1orf109 125 1000 37919828 37928779 103.614909808593 0.555 0.242 rs12046807 0.01501
1 C1orf110 190 1000 161090710 161105229 110.913040898038 0.835 0.561 rs11583881 0.0548999999999999
1 C1orf111 171 1e+05 160610138 160613268 273.057281815143 0.10188 0.04445 rs905717 0.00350299999999999
1 C1orf112 228 1e+05 168031173 168088853 447.040625288534 0.09861 0.04102 rs10919246 0.002569
1 C1orf113 36 1000 36545304 36563073 56.3653308145955 0.198 0.179 rs10796881 0.0654300000000003
1 C1orf114 159 1000 167630737 167663294 35.6537867419229 0.982 0.923 rs6427185 0.275600000000001
1 C1orf115 92 1000 218930250 218939122 68.4834685440059 0.533 0.191 rs6541155 0.03349
1 C1orf116 93 1000 205258488 205272724 98.8944585867937 0.352 0.176 rs2075864 0.02909
1 C1orf122 48 1000 38046555 38047713 33.3246995563942 0.542 0.44 rs565645 0.113299999999999
1 C1orf123 74 1000 53452359 53458877 108.555479549453 0.208 0.291 rs3737983 0.06432
1 C1orf124 74 1000 229540304 229556612 24.8770741714467 0.676 0.138 rs12088804 0.0391500000000001
1 C1orf125 331 1000 177601737 177790493 235.52776627507 0.654 0.376 rs6425558 0.0269499999999999
1 C1orf127 95 1000 10929119 10946845 85.7866634294585 0.529 0.473 rs2003046 0.0750400000000001
1 C1orf128 37 1000 23977474 23987309 33.5997025632331 0.335 0.224 rs2076346 0.0557099999999999
1 C1orf129 165 1000 169171259 169234570 187.67265628506 0.337 0.193 rs12239620 0.002112
1 C1orf130 96 1000 24755188 24808403 52.1125272902322 0.804 0.69 rs6424101 0.0655099999999999
1 C1orf131 91 1000 229426131 229443547 88.7824604829288 0.417 0.353 rs2180273 0.0666999999999994
1 C1orf135 92 1000 26033083 26058435 68.2018201430112 0.462 0.302 rs12037513 0.01308
1 C1orf14 96 1000 181135622 181189176 43.7263688404775 0.83 0.545 rs12025917 0.0483900000000003
1 C1orf141 123 1e+05 67330446 67366808 553.144507956762 0.00073 0.00224 rs2093334 0.000585100000000012
1 C1orf142 88 1000 225989319 226035550 103.865141346174 0.287 0.216 rs10916214 0.0259200000000001
1 C1orf144 62 1000 16566169 16597227 93.3052207505136 0.167 0.186 rs1136348 0.03675
1 C1orf146 60 1000 92456160 92483955 54.0344485374858 0.422 0.19 rs475034 0.0606799999999996
1 C1orf149 64 1e+05 37730762 37752951 91.4780861296485 0.17967 0.05456 rs4653295 0.01003
1 C1orf150 88 1000 245779073 245806471 42.3982219676099 0.902 0.891 rs1144811 0.134499999999999
1 C1orf151 77 1000 19796053 19827761 60.8832041871473 0.597 0.366 rs10489858 0.0734
1 C1orf156 148 1e+05 168028295 168030655 267.787547523938 0.11803 0.04483 rs10919246 0.002569
1 C1orf157 95 1000 202268197 202277011 38.7860525604183 0.957 0.661 rs12023823 0.0730100000000004
1 C1orf158 122 1000 12728749 12743689 91.8464124922397 0.573 0.362 rs1132185 0.0748899999999999
1 C1orf159 53 1000 1007060 1041599 57.0217565947366 0.305 0.132 rs10907183 0.01789
1 C1orf161 62 1000 116455898 116479384 53.6135923870823 0.501 0.231 rs10489749 0.0285600000000001
1 C1orf162 109 1000 111818126 111822657 124.531655258704 0.318 0.1 rs1264913 0.003176
1 C1orf163 87 1000 52925101 52936626 60.8283740283338 0.639 0.203 rs6675099 0.02494
1 C1orf165 124 1e+05 48966126 49015134 280.565621436573 0.04483 0.01882 rs12407980 0.002189
1 C1orf168 172 1e+05 56957064 57057957 257.324077063166 0.08741 0.02474 rs947639 0.00180500000000001
1 C1orf172 38 1e+05 27148647 27159484 78.4098904521821 0.09663 0.0425 rs3010109 0.00887599999999997
1 C1orf173 201 1000 74806382 74912010 141.769272401053 0.728 0.43 rs10518473 0.01337
1 C1orf174 80 1000 3795556 3806709 89.5485022885785 0.364 0.197 rs16824230 0.02281
1 C1orf175 192 1000 54880031 54948527 137.798246393369 0.682 0.481 rs501260 0.0417699999999998
1 C1orf176 72 1e+05 40747019 40754801 130.585792478368 0.11424 0.04877 rs17403513 0.00907700000000001
1 C1orf177 139 1000 55044323 55080525 182.325320559757 0.229 0.106 rs688938 0.01162
1 C1orf182 72 1e+05 154573728 154583409 153.482327854812 0.06883 0.11105 rs11264479 0.01023
1 C1orf183 143 1000 112069892 112099942 121.170091955403 0.524 0.287 rs7536042 0.0376200000000001
1 C1orf186 12 1e+05 204405494 204455270 23.8917197386968 0.13582 0.03998 rs35810727 0.02275
1 C1orf187 92 1e+05 11674367 11702923 115.784390549007 0.21757 0.09098 rs6419479 0.00616599999999997
1 C1orf189 56 1000 152438471 152445433 33.8696238320597 0.626 0.487 rs3811454 0.106299999999999
1 C1orf190 63 1000 46441592 46509912 16.266572322747 0.971 0.667 rs3766248 0.0509699999999998
1 C1orf192 86 1000 159601144 159604288 52.9827937914021 0.551 0.29 rs12140361 0.0802899999999993
1 C1orf194 38 1000 109450095 109458002 63.329590688683 0.113 0.101 rs679224 0.0222299999999998
1 C1orf198 130 1000 229039488 229070900 55.144471579085 0.967 0.889 rs11584791 0.109299999999999
1 C1orf2 42 1000 153483619 153491898 5.17190821908124 0.972 0.666 rs2990247 0.1794
1 C1orf201 147 1000 24556075 24600536 133.798200568983 0.449 0.291 rs4648973 0.0479500000000002
1 C1orf21 283 1000 182622772 182864778 159.779001044876 0.853 0.474 rs6701227 0.01721
1 C1orf210 89 1000 43520143 43523837 37.0142919863278 0.925 0.724 rs12566247 0.117999999999999
1 C1orf212 83 1000 35091710 35097932 33.2059630713872 0.939 0.771 rs7529768 0.105
1 C1orf213 64 1e+05 23568050 23570866 124.041809927185 0.09674 0.05097 rs2298633 0.00891200000000002
1 C1orf216 33 1000 35952063 35957377 18.4003225503027 0.613 0.294 rs6670539 0.1405
1 C1orf220 120 1000 176778553 176784647 19.9198337627758 0.987 0.913 rs10158091 0.228399999999999
1 C1orf222 49 1000 1843255 1849228 36.1527805233128 0.545 0.316 rs2144687 0.0221699999999999
1 C1orf25 60 1000 183353840 183392739 62.6279225963696 0.349 0.18 rs7519019 0.0720699999999997
1 C1orf26 92 1e+05 183392814 183527536 151.801364180904 0.15862 0.08819 rs6682891 0.0192000000000001
1 C1orf27 95 1000 184611623 184657126 24.5632745406614 0.973 0.808 rs2697467 0.0726200000000005
1 C1orf31 102 1000 232576051 232586414 74.2593730500088 0.711 0.269 rs12070750 0.01239
1 C1orf32 93 1000 165154619 165211185 118.568613319971 0.235 0.169 rs2871973 0.00952100000000001
1 C1orf35 35 1000 226355050 226357645 24.271455314613 0.564 0.403 rs766972 0.164699999999999
1 C1orf38 71 1000 28071641 28085780 59.3871566589522 0.465 0.338 rs4463696 0.0880500000000002
1 C1orf43 60 1000 152445806 152459897 32.6232242842705 0.669 0.499 rs3811454 0.106299999999999
1 C1orf49 102 1000 176748834 176758407 21.520361370344 0.971 0.83 rs10158091 0.228399999999999
1 C1orf50 65 1e+05 43005502 43014002 85.7326082681309 0.24635 0.03978 rs11801074 0.00206700000000001
1 C1orf51 66 1000 148521852 148526125 21.4861298921983 0.879 0.638 rs10494266 0.0738499999999993
1 C1orf52 124 1e+05 85490243 85497913 264.490024212886 0.0376 0.02511 rs11585614 0.000394200000000005
1 C1orf53 76 1e+05 196138399 196143120 104.918012523751 0.20843 0.03374 rs10801626 0.003506
1 C1orf54 68 1000 148511821 148519951 21.9845686213116 0.905 0.663 rs10494266 0.0738499999999993
1 C1orf55 52 1000 224237025 224253689 33.1046622835266 0.646 0.537 rs3007716 0.0446899999999997
1 C1orf56 56 1e+05 149286882 149290495 97.9817625993817 0.11175 0.12331 rs3738478 0.0186100000000001
1 C1orf57 89 1e+05 231152992 231180842 163.386300282255 0.09301 0.0402 rs17452776 0.01035
1 C1orf58 44 1e+05 220952528 220972729 104.718481781543 0.05529 0.02192 rs4256814 0.00249
1 C1orf59 37 1000 108992432 109005671 44.137389932744 0.283 0.298 rs11102185 0.1617
1 C1orf61 73 1e+05 154640678 154665808 126.330483540288 0.07146 0.10156 rs11264479 0.01023
1 C1orf62 168 1e+05 109160047 109201239 329.115915331672 0.06357 0.05723 rs10857966 0.00249499999999999
1 C1orf63 11 1000 25441326 25446572 3.99572856374061 0.885 0.607 rs4520361 0.3088
1 C1orf64 117 1000 16203317 16205771 52.8716599203859 0.854 0.635 rs7516754 0.1059
1 C1orf65 87 1000 221633390 221635435 48.2006371445307 0.688 0.402 rs6679661 0.04463
1 C1orf66 65 1e+05 154964901 154973365 115.871478828787 0.07434 0.02072 rs3795737 0.002412
1 C1orf67 96 1000 223183985 223222249 17.2735059879617 0.974 0.586 rs10915741 0.0727200000000006
1 C1orf69 62 1000 226420051 226436581 27.7436943284999 0.67 0.576 rs2313600 0.2507
1 C1orf70 30 1000 1460020 1465603 11.0256823346459 0.732 0.252 rs3813216 0.1229
1 C1orf71 157 1e+05 244796428 244897049 294.606796110573 0.04617 0.01319 rs9426209 7.99500000000014e-05
1 C1orf74 144 1000 208022284 208024513 73.1709138043463 0.809 0.372 rs17015309 0.0409899999999997
1 C1orf77 45 1000 151873148 151884603 6.31869461817729 0.964 0.895 rs10908420 0.4378
1 C1orf83 133 1000 54291861 54338004 133.894097564299 0.38 0.255 rs12078845 0.03599
1 C1orf84 64 1000 43628142 43645152 21.026586385392 0.793 0.396 rs12129487 0.0426300000000002
1 C1orf85 78 1e+05 154529107 154532073 173.557652137747 0.08916 0.12654 rs11264463 0.0462999999999999
1 C1orf86 54 1000 2110847 2116074 23.6395575267371 0.748 0.391 rs12026349 0.1537
1 C1orf87 196 1000 60228653 60312014 166.850080921535 0.568 0.313 rs2554297 0.01896
1 C1orf88 158 1000 111690717 111697162 112.502321781752 0.697 0.362 rs12127313 0.02319
1 C1orf89 68 1000 16430781 16436033 44.020677812018 0.573 0.428 rs12144597 0.150299999999999
1 C1orf9 118 1000 170768882 170847596 38.8388469661188 0.966 0.848 rs985320 0.0924499999999997
1 C1orf91 34 1000 32454384 32460513 21.5581904362127 0.531 0.235 rs2291063 0.0881499999999998
1 C1orf92 98 1000 155157047 155169504 81.3340178161179 0.406 0.428 rs2644604 0.1365
1 C1orf93 58 1000 2508108 2512762 50.0144504945322 0.397 0.318 rs6698817 0.0820100000000002
1 C1orf94 201 1e+05 34405210 34457318 335.575889294628 0.10003 0.11575 rs11584467 0.00312299999999999
1 C1orf95 169 1000 224803123 224859926 127.666254838516 0.722 0.388 rs755780 0.02555
1 C1orf96 88 1000 227523374 227545311 27.8740295025942 0.871 0.434 rs238098 0.0655099999999999
1 C1QA 110 1000 22835704 22838762 89.0762505801896 0.532 0.183 rs12088436 0.0132200000000001
